"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",82.591034,,
"LVA","Latvia","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",88.374748,,
"NLD","Netherlands","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",72.961838,,
"NZL","New Zealand","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",82.099213,,
"G20","G20","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,51.918275,,
"ARG","Argentina","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",62.9604,,
"CAN","Canada","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",92.595673,,
"SWE","Sweden","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",80.023727,,
"CHN","China (People's Republic of)","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2010","2010",25.644407,,
"IDN","Indonesia","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",14.339154,,
"IRL","Ireland","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.276581,,
"LTU","Lithuania","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",90.948456,,
"NZL","New Zealand","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",70.050934,,
"PRT","Portugal","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",30.110268,,
"LVA","Latvia","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.213051,,
"FRA","France","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",83.723862,,
"TUR","Turkey","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",28.171801,,
"CHL","Chile","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",45.885643,,
"BRA","Brazil","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",51.142132,,
"CRI","Costa Rica","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",34.059357,,
"SWE","Sweden","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.863945,,
"ISL","Iceland","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",78.695679,,
"ITA","Italy","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",50.249821,,
"SVN","Slovenia","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",82.99939,,
"BRA","Brazil","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",35.584442,,
"LUX","Luxembourg","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",69.864624,,
"PRT","Portugal","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",67.65638,,
"CHL","Chile","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",47.120453,,
"EST","Estonia","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",91.469795,,
"CZE","Czech Republic","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",95.028305,,
"GRC","Greece","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",83.039696,,
"BRA","Brazil","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",34.219242,,
"CHN","China (People's Republic of)","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2010","2010",20.088358,,
"TUR","Turkey","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",47.699917,,
"GBR","United Kingdom","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.737869,,
"SAU","Saudi Arabia","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2016","2016",,"m","Missing data"
"OAVG","OECD - Average","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,68.483541,,
"AUT","Austria","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.541077,,
"AUT","Austria","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.872314,,
"BEL","Belgium","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",84.341103,,
"IND","India","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2011","2011",20.353256,,
"MEX","Mexico","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",32.088581,,
"IND","India","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2011","2011",9.9992599,,
"IRL","Ireland","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",91.29776,,
"ISL","Iceland","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",74.45134,,
"CHL","Chile","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",74.09304,,
"JPN","Japan","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"KOR","Korea","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",98.101349,,
"ISR","Israel","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",80.3274,,
"E22","European Union 22 members in OECD","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,86.037705,,
"FRA","France","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",70.3769,,
"JPN","Japan","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"NOR","Norway","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",81.130608,,
"ESP","Spain","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",63.103836,,
"LTU","Lithuania","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",95.293274,,
"POL","Poland","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.068184,,
"ZAF","South Africa","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",64.513626,,
"FRA","France","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.939911,,
"ARG","Argentina","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",76.358788,,
"SVK","Slovak Republic","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",91.905022,,
"BRA","Brazil","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",45.403801,,
"SAU","Saudi Arabia","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2016","2016",,"m","Missing data"
"LUX","Luxembourg","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.603271,,
"FIN","Finland","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.768547,,
"ITA","Italy","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",78.884064,,
"NZL","New Zealand","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",76.86869,,
"SWE","Sweden","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.043976,,
"OAVG","OECD - Average","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,80.403192,,
"ESP","Spain","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",56.162201,,
"COL","Colombia","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",46.252026,,
"USA","United States","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.585655,,
"DNK","Denmark","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",80.41877,,
"LTU","Lithuania","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",96.63208,,
"ITA","Italy","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",59.082226,,
"LUX","Luxembourg","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",79.478645,,
"EST","Estonia","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",91.296516,,
"SWE","Sweden","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",80.58786,,
"POL","Poland","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",92.081451,,
"OAVG","OECD - Average","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,77.934049,,
"IND","India","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2011","2011",36.072987,,
"USA","United States","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",90.77359,,
"ZAF","South Africa","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",77.72654,,
"LVA","Latvia","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.646347,,
"DEU","Germany","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.301399,,
"CHL","Chile","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",59.561596,,
"AUS","Australia","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",77.802223,,
"LTU","Lithuania","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",84.373779,,
"G20","G20","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,74.511767,,
"NZL","New Zealand","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",88.129288,,
"CHE","Switzerland","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",92.251839,,
"AUT","Austria","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.582794,,
"IDN","Indonesia","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",27.38283,,
"CAN","Canada","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",90.430817,,
"COL","Colombia","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",74.050255,,
"GRC","Greece","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",88.712616,,
"SWE","Sweden","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",84.887665,,
"IND","India","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2011","2011",15.020129,,
"LVA","Latvia","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",78.368561,,
"AUS","Australia","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",90.702858,,
"OAVG","OECD - Average","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,76.670658,,
"CAN","Canada","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.322342,,
"ARG","Argentina","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",61.023041,,
"GBR","United Kingdom","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.961433,,
"DNK","Denmark","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",80.303787,,
"COL","Colombia","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",56.626038,,
"PRT","Portugal","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",78.447388,,
"BEL","Belgium","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",77.086838,,
"MEX","Mexico","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",35.616123,,
"KOR","Korea","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",98.02169,,
"CHN","China (People's Republic of)","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2010","2010",19.676701,,
"GBR","United Kingdom","L3T8","At least upper secondary education","M","Men","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",74.589622,,
"CAN","Canada","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",95.268135,,
"IND","India","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2011","2011",41.96262,,
"ISL","Iceland","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",76.028076,,
"IRL","Ireland","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.676476,,
"FIN","Finland","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",91.891891,,
"EST","Estonia","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",83.386658,,
"IRL","Ireland","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",91.128365,,
"OAVG","OECD - Average","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,83.277297,,
"SVK","Slovak Republic","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",92.388557,,
"ESP","Spain","L3T8","At least upper secondary education","M","Men","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",62.086586,,
"KOR","Korea","L3T8","At least upper secondary education","F","Women","Y45T54","45-54 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",91.210579,,
"ZAF","South Africa","L3T8","At least upper secondary education","F","Women","Y25T34","25-34 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.109673,,
